region,solar,wind,hours,years,inter,intra,std,mean
ERCOT,0.25,0.0,-1,9,4.234278115025206,2.109892697355347,4.755364256437581,154.18566288115323
ERCOT,0.25,0.25,-1,9,3.641557387912934,2.703614008169143,4.565353376402,137.2019357762825
ERCOT,0.25,0.5,-1,9,4.232087145168361,3.925002569488211,5.879395136148532,130.69198086627188
ERCOT,0.5,0.0,-1,9,4.2537996028600285,2.159046007576486,4.8008388520352385,153.83135908129813
ERCOT,0.5,0.25,-1,9,4.3855650014613765,3.1326043940998307,5.417323993173425,135.39118436426045
ERCOT,0.5,0.5,-1,9,5.734982775855276,4.641112193161836,7.459645137298791,127.61015005091645
ERCOT,0.0,0.0,-1,14,4.061765109835247,1.0989597297882154,4.236154635363695,173.66507001376047
ERCOT,0.0,0.25,-1,14,4.247249754029741,1.4603938404737098,4.535444856854659,167.92786928691885
ERCOT,0.0,0.5,-1,14,4.933769325240692,1.61156705511326,5.254448291946813,164.38914177554202
ERCOT,0.25,0.0,-1,14,4.1245593360119,2.100821803556834,4.674045594771988,154.73765459369247
ERCOT,0.25,0.25,-1,14,3.611277148499587,2.615236801163023,4.487705365608509,137.2146629107573
ERCOT,0.25,0.5,-1,14,4.1903409673299175,3.5266552272773026,5.587731710022936,130.67577364158336
ERCOT,0.5,0.0,-1,14,4.122572698328732,2.150055194130901,4.70325319491755,154.34611975309167
ERCOT,0.5,0.25,-1,14,4.016892495590946,3.1206768835190153,5.112201760754794,135.3024298291692
ERCOT,0.5,0.5,-1,14,4.896945433521345,4.5178579179525205,6.7490525689839265,127.05407460069458
ERCOT,0.0,0.0,-1,6,2.9978224570348577,0.871071664869493,3.1257912293996575,170.6498381061669
ERCOT,0.0,0.25,-1,6,2.17420263486205,1.4368119077029444,2.6552167264253255,163.94190566562742
ERCOT,0.0,0.5,-1,6,2.284815539905292,1.111900291862974,2.600763553718243,159.6355631191372
ERCOT,0.25,0.0,-1,6,2.9152232071889728,2.310190644762307,3.7426658218874453,152.6883309417701
ERCOT,0.25,0.25,-1,6,2.1592305697881424,2.695765748050875,3.4813428456205298,135.9125966636306
ERCOT,0.25,0.5,-1,6,3.3923258798092255,3.693742494757138,5.070212045865811,129.99025580660015
ERCOT,0.5,0.0,-1,6,2.8820511904007606,2.3717839250665134,3.764701387873674,152.30654078695738
ERCOT,0.5,0.25,-1,6,2.838082280314644,3.133390047477106,4.2770503371697535,134.30840363926916
ERCOT,0.5,0.5,-1,6,4.352380628252716,4.492376575133485,6.356207575843048,127.48721879660923
ERCOT,0.0,0.0,-1,16,3.939690010743196,1.0814087741486633,4.1112360455395605,174.05541761227568
ERCOT,0.0,0.25,-1,16,4.189897532486256,1.5039036606572673,4.493180254847122,168.39494546499026
ERCOT,0.0,0.5,-1,16,4.883857852666618,1.6700894834343019,5.22114052986905,164.91589451172294
ERCOT,0.25,0.0,-1,16,3.946375499535059,2.168659874066835,4.548001785304705,155.0141382055799
ERCOT,0.25,0.25,-1,16,3.5034144416315063,2.8038722578333717,4.568975461908898,136.85049660625612
ERCOT,0.25,0.5,-1,16,4.380834551443418,3.4703322652634307,5.694154723630123,129.88939495200142
ERCOT,0.5,0.0,-1,16,3.9529384694987604,2.2188862185053906,4.5874018304832616,154.64435614089075
ERCOT,0.5,0.25,-1,16,3.822793056152613,3.325850284668514,5.1338854672859595,135.01303521686953
ERCOT,0.5,0.5,-1,16,4.763504766719029,4.396377285940205,6.572536589975952,126.49282086921599
ERCOT,0.0,0.0,-1,7,2.800965806592875,0.9218619963604304,2.9550008808319177,170.803850261261
ERCOT,0.0,0.25,-1,7,2.43783025251843,1.485151172517989,2.895569149502624,164.50375998117448
ERCOT,0.0,0.5,-1,7,3.009861605300012,1.1935445126926978,3.2843869720447283,160.5103420523336
ERCOT,0.25,0.0,-1,7,2.70348784377921,2.296383452660703,3.5679913207831566,152.6305399435729
ERCOT,0.25,0.25,-1,7,2.135907452117305,2.5748602941204695,3.3822226796639128,135.6153547825099
ERCOT,0.25,0.5,-1,7,3.6403979078720026,3.514068329305687,5.1233970124248716,129.25558499193912
ERCOT,0.5,0.0,-1,7,2.669725057162521,2.349372845017992,3.5856217612155334,152.2692006686334
ERCOT,0.5,0.25,-1,7,2.855955646464591,3.104983686388484,4.261592078158567,133.8550613590896
ERCOT,0.5,0.5,-1,7,4.9565358183177395,4.514950355911935,6.786053495022696,126.31317937353863
ERCOT,0.0,0.0,-1,17,4.177254189568671,1.1798585189816906,4.381301778090686,174.47682184525829
ERCOT,0.0,0.25,-1,17,4.783751915609851,1.6110504870093336,5.100300285495773,169.01848591817784
ERCOT,0.0,0.5,-1,17,5.528010341873916,1.8130131300370464,5.8950898878298466,165.6172933042542
ERCOT,0.25,0.0,-1,17,3.9414077799408136,2.280850503660179,4.617588834584999,155.24891083725853
ERCOT,0.25,0.25,-1,17,3.4400212177061977,2.9388558747888607,4.632813755315097,136.97298191770108
ERCOT,0.25,0.5,-1,17,4.267274247015103,3.4585300403955537,5.594220304636507,129.97046630589708
ERCOT,0.5,0.0,-1,17,3.963024709338525,2.326285768213007,4.665571725225352,154.89487383722468
ERCOT,0.5,0.25,-1,17,3.7167340069720436,3.5177726323487923,5.235726690270647,135.05355640034014
ERCOT,0.5,0.5,-1,17,4.662292871187509,4.423386431385333,6.513698987361651,126.32401477282673
ERCOT,0.0,0.0,-1,5,2.70497689416011,0.8299462432108048,2.8329139661100133,171.4100384506752
ERCOT,0.0,0.25,-1,5,1.7983483626941137,1.5642279730218305,2.427212931933724,164.55780576427523
ERCOT,0.0,0.5,-1,5,2.0059761424554683,1.1896072658261374,2.4022424468995944,160.2215285256494
ERCOT,0.25,0.0,-1,5,2.6493139406978936,2.243802641939755,3.49763127416386,153.414345807253
ERCOT,0.25,0.25,-1,5,1.9354353202108023,2.5764829677922725,3.242598841857834,135.30622535092039
ERCOT,0.25,0.5,-1,5,2.7797607464150396,3.603831502263059,4.619114772222712,128.91504986921655
ERCOT,0.5,0.0,-1,5,2.713480120954678,2.3141248387458337,3.603924956722282,152.96432595087322
ERCOT,0.5,0.25,-1,5,2.257789830971481,3.101412226093995,3.899275118458296,133.3874718726649
ERCOT,0.5,0.5,-1,5,3.0079507563384986,4.55323408164498,5.595353497797985,125.9291900119482
PJM,0.0,0.0,-1,14,9.605661505180258,1.4494895516368258,9.742644402213516,166.00579502743565
PJM,0.0,0.25,-1,14,11.773848183691365,1.582266510003117,11.895856464862977,158.5834918457821
PJM,0.0,0.5,-1,14,12.38801982919998,1.8062291584131616,12.552792472112204,155.57837098693474
PJM,0.25,0.0,-1,14,8.007854747345563,2.9747807509614357,8.62238689760013,152.41630222599932
PJM,0.25,0.25,-1,14,9.1313321727422,3.5801789609283476,9.897181077222033,140.74578111548624
PJM,0.25,0.5,-1,14,9.052589949650882,4.554210370485567,10.234459342418642,135.49241797955943
PJM,0.5,0.0,-1,14,7.859719401988934,3.0622139020326005,8.531683013829202,152.17309938271683
PJM,0.5,0.25,-1,14,8.44608597262059,4.107538028946401,9.538208001370553,139.76642027219006
PJM,0.5,0.5,-1,14,8.10760743318035,5.0986990942074195,9.751162301562855,134.01776141188145
PJM,0.0,0.0,-1,11,9.787257081009459,1.4368980813512926,9.920130317324686,165.46766340812925
PJM,0.0,0.25,-1,11,11.488900544647347,1.621352961429063,11.616859896363861,157.47284435164724
PJM,0.0,0.5,-1,11,11.818304054741777,1.8956863968458852,12.013257384514468,154.71105855828523
PJM,0.25,0.0,-1,11,7.829580090301737,2.8427155691000925,8.416770013347334,152.54205875516084
PJM,0.25,0.25,-1,11,8.64510883798464,3.255448174100125,9.26433992891886,140.44736080456542
PJM,0.25,0.5,-1,11,8.396679231261222,4.225093526313522,9.444283873719424,135.44400214303965
PJM,0.5,0.0,-1,11,7.664187098912299,2.9111893686758807,8.302286194676434,152.27620717062797
PJM,0.5,0.25,-1,11,8.01638072224594,3.7840380897760344,8.92412459432879,139.48573424773969
PJM,0.5,0.5,-1,11,7.511976536291066,4.773936481330114,9.008766308154978,133.9772249965143
